epoch,train_loss,val_loss,test_loss
1,0.6490254528021813,0.6034967681884765,0.5996199261069298
2,0.5792831376719475,0.5584803718924523,0.5550490695536137
3,0.53716805087924,0.5189213080257178,0.5187154826045036
4,0.4899681863194704,0.48199764016270635,0.4779038054779172
5,0.45182900709450247,0.454565938988328,0.44883981218487023
6,0.41888260635972024,0.4061595003083348,0.4047480886504054
7,0.3858814315634966,0.40954176758900285,0.4042988864302635
8,0.3592542971661687,0.35805952580198647,0.3517889210700989
9,0.33392120367646216,0.3355675685431808,0.3255223806153983
10,0.3130668139997125,0.3173502026438713,0.3111445659853518
11,0.29318118216414,0.31374954243972897,0.302861158753559
12,0.2791892343454808,0.3091877067223191,0.3029795062810183
13,0.26544372459314763,0.29986143988929687,0.2937594470620155
14,0.25487161716971546,0.2874355519808829,0.28084225952811537
15,0.24440437526799738,0.2677053682699799,0.2636168143980205
